source_cid,place_key,name,reason
ENPxzfzdq,xzfzdq,Seoul Design Week x Seoul Design Festival – SEOUL DESIGN SPOT,invalid_event_end_date
ENPabat1g,abat1g,2025 Seoul Beauty Travel Week,invalid_event_end_date
ENPd4iz7q,d4iz7q,Visit Seoul Club,invalid_event_end_date
ENPo8zg3e,o8zg3e,2025 Seoul Light: Hangang Bitseom Festival,invalid_event_end_date
ENPowahwd,owahwd,2025 Seoul Autumn Festa Opening Performance,invalid_event_end_date
ENP7oh7m6,7oh7m6,Seoul Street Arts Festival 2025,invalid_event_end_date
ENPiypjiu,iypjiu,2025 Seoul International Fireworks Festival,invalid_event_end_date
ENP7dhgbq,7dhgbq,DDP Autumn Festival: Design Lounge,invalid_event_end_date
ENPwouw6k,wouw6k,The 2nd Garak Oktoberfest Gourmet Night,invalid_event_end_date
ENPupk10b,upk10b,2025 Seoul Fashion Festa,invalid_event_end_date
ENPli8otb,li8otb,Seoul Blossom,invalid_event_end_date
ENP5buaxv,5buaxv,2025 Seoul Hunters Festival,invalid_event_end_date
ENP7o2zqn,7o2zqn,Global Art & Tech Festival: FuturaCanvas 2025,invalid_event_end_date
ENPm9xt2z,m9xt2z,2025 SEOUL EXTREME SPORTS FESTIVAL,invalid_event_end_date
ENPrgdodv,rgdodv,Local Trip Thu-Fri-Sat,invalid_event_end_date
ENPpw022t,pw022t,2025 Cheonho Bicycle Street Autumn Breeze Riding Challenge,invalid_event_end_date
ENPmq7d4n,mq7d4n,Welcome All Itaewon : On-Stage,invalid_event_end_date
ENP9rin2d,9rin2d,2025 Everyone’s Sejong Summer Festival,invalid_event_end_date
ENPuxr3lm,uxr3lm,2025 Chemi Street Pop-up,invalid_event_end_date
ENP5cs9sl,5cs9sl,Namsangol Traditional wedding event : Enduring Love <Baeknyeonhaero>,invalid_event_end_date
ENPqugxsa,qugxsa,Literature Week 2025  : Help-Reach Out,invalid_event_end_date
ENP18eliy,18eliy,DDP Architecture Tour,invalid_event_end_date
ENP8x43k3,8x43k3,Seoul Light DDP 2025 Summer,invalid_event_end_date
ENP6i1745,6i1745,DDP Summer Festival: Design Holiday,invalid_event_end_date
ENPjyzo8y,jyzo8y,22nd Experimental Film & Video Festival in Seoul EXIS 2025,invalid_event_end_date
ENPp76rr1,p76rr1,Seoul Outdoor Library: Clear Stream for Reading,invalid_event_end_date
ENPb3jzj8,b3jzj8,2025 Seoul Summer Beach,invalid_event_end_date
ENPsi8g44,si8g44,2025 Seoul International Writers’ Festival <More Than What Meets the Eye (   )>,invalid_event_end_date
ENP5up1as,5up1as,2025 K-Content Seoul Travel Week : Find the Soul Spot,invalid_event_end_date
ENPwku0fa,wku0fa,2025 Andong Maskdance Festival,invalid_event_end_date
ENPcxbf7c,cxbf7c,28th Boryeong Mud Festival,invalid_event_end_date
ENP1hx4ns,1hx4ns,18th World Taekwondo Culture Expo,invalid_event_end_date
ENPwo6zsy,wo6zsy,2025 Seoul International Garden Show,invalid_event_end_date
ENPwna114,wna114,Garak Mall Outdoor Library Garak Seoga,invalid_event_end_date
ENPs42gr9,s42gr9,Garak Mall Outdoor Concert Garak Table Concert,invalid_event_end_date
ENPdrtub1,drtub1,Pungnap Sculpture Festival,invalid_event_end_date
ENPbmsovc,bmsovc,Seoul Gugak Festival,invalid_event_end_date
ENPw9m49o,w9m49o,2025  Traditional Wedding Reenactment,invalid_event_end_date
ENP7mh35y,7mh35y,2025 Seoul Tourism Food Festival (Picnic on the Bridge),invalid_event_end_date
ENPt7q4fa,t7q4fa,Seoul Summer Vibe,invalid_event_end_date
ENP67bnxw,67bnxw,K-Fashion & Beauty Coaching Station,invalid_event_end_date
ENPvfdcgs,vfdcgs,2025 Seoul Taekwondo Performance,invalid_event_end_date
ENP2l80dq,2l80dq,Seoul Friendship Festival 2025,invalid_event_end_date
